JsonReader.endArray()	Consumes the next token from the JSON stream and asserts that it is the end of the current array
JsonPrimitive.getAsBigDecimal()	convenience method to get this element as a BigDecimal
JsonWriter.value(Number)	Encodes value
TypeToken.isAssignableFrom(Type)	Check if this type is assignable from the given Type
TypeAdapter.toJson(Writer,T)	Converts value to a JSON document and writes it to out
FieldAttributes.getAnnotation(Class)	Return the T annotation object from this field if it exist otherwise returns null
JsonArray.getAsByte()	Description copied from class JsonElement
JsonPrimitive.JsonPrimitive(String)	Create a primitive containing a String value
JsonSerializer.serialize(T,Type,JsonSerializationContext)	Gson invokes this call back method during serialization when it encounters a field of the specified type
JsonElement.isJsonPrimitive()	provides check for verifying if this element is a primitive or not
JsonWriter.getSerializeNulls()	Returns true if object members are serialized when their value is null
JsonElement.toString()	Returns a String representation of this element
JsonElement.getAsNumber()	convenience method to get this element as a Number
JsonPrimitive.isBoolean()	Check whether this primitive contains a boolean value
JsonWriter.jsonValue(String)	Writes value directly to the writer without quoting or escaping
GsonBuilder.disableHtmlEscaping()	By default Gson escapes HTML characters such as etc Use this option to configure Gson to pass through HTML characters as is
JsonArray.getAsBigInteger()	convenience method to get this array as a BigInteger if it contains a single element
ExclusionStrategy.shouldSkipField(FieldAttributes)	true if the field should be ignored otherwise false
GsonBuilder.setLenient()	By default Gson is strict and only accepts JSON as specified by RFC 4627 This option makes the parser liberal in what it accepts
FieldAttributes.getDeclaredClass()	Returns the Class object that was declared for this field
JsonElement.getAsBigDecimal()	convenience method to get this element as a BigDecimal
JsonElement.getAsJsonPrimitive()	convenience method to get this element as a JsonPrimitive If the element is of some other type a IllegalStateException will result Hence it is best to use this method after ensuring that this element is of the desired type by calling isJsonPrimitive first
Gson.getAdapter(Class)	Returns the type adapter for type
JsonReader.setLenient(boolean)	Configure this parser to be liberal in what it accepts By default this parser is strict and only accepts JSON as specified by RFC 4627 Setting the parser to lenient causes it to ignore the following syntax errors Streams that start with the non execute prefix n
ExclusionStrategy.shouldSkipClass(Class)	true if the class should be ignored otherwise false
TypeAdapter.toJson(T)	Converts value to a JSON document Unlike Gson s similar toJson method this write is strict Create a lenient JsonWriter and call write com google gson stream JsonWriter Object for lenient writing
JsonPrimitive.getAsShort()	convenience method to get this element as a primitive short
TypeAdapter.fromJson(String)	Converts the JSON document in json to a Java object Unlike Gson s similar fromJson method this read is strict Create a lenient JsonReader and call read JsonReader for lenient reading
JsonStreamParser.JsonStreamParser(Reader)	
Gson.getDelegateAdapter(TypeAdapterFactory,TypeToken)	This method is used to get an alternate type adapter for the specified type This is used to access a type adapter that is overridden by a TypeAdapterFactory that you may have registered This features is typically used when you want to register a type adapter that does a little bit of work but then delegates further processing to the Gson default type adapter Here is an example Let s say we want to write a type adapter that counts the number of objects being read from or written to JSON We can achieve this by writing a type adapter factory that uses the getDelegateAdapter method class StatsTypeAdapterFactory implements TypeAdapterFactory public int numReads 0 public int numWrites 0 public lt T gt TypeAdapter lt T gt create Gson gson TypeToken lt T gt type final TypeAdapter lt T gt delegate gson getDelegateAdapter this type return new TypeAdapter lt T gt public void write JsonWriter out T value throws IOException numWrites delegate write out value public T read JsonReader in throws IOException numReads return delegate read in This factory can now be used like this StatsTypeAdapterFactory stats new StatsTypeAdapterFactory Gson gson new GsonBuilder registerTypeAdapterFactory stats create Call gson toJson and fromJson methods on objects System out println Num JSON reads stats numReads System out println Num JSON writes stats numWrites Note that this call will skip all factories registered before skipPast In case of multiple TypeAdapterFactories registered it is up to the caller of this function to insure that the order of registration does not prevent this method from reaching a factory they would expect to reply from this call
Gson.newJsonWriter(Writer)	Returns a new JSON writer configured for the settings on this Gson instance
JsonPrimitive.getAsInt()	convenience method to get this element as a primitive integer
JsonWriter.close()	Flushes and closes this writer and the underlying Writer
JsonArray.hashCode()	
GsonBuilder.GsonBuilder()	Creates a GsonBuilder instance that can be used to build Gson with various configuration settings GsonBuilder follows the builder pattern and it is typically used by first invoking various configuration methods to set desired options and finally calling create
JsonArray.size()	Returns the number of elements in the array
JsonElement.getAsInt()	convenience method to get this element as a primitive integer value
Gson.getAdapter(TypeToken)	Returns the type adapter for type
JsonWriter.beginArray()	Begins encoding a new array Each call to this method must be paired with a call to endArray
FieldAttributes.getDeclaredType()	For example assume the following class definition public class Foo private String bar private List String red Type listParameterizedType new TypeToken List String getType This method would return String class for the bar field and listParameterizedType for the red field
JsonObject.addProperty(String,Number)	Convenience method to add a primitive member The specified value is converted to a JsonPrimitive of Number
JsonArray.equals(Object)	
JsonArray.JsonArray()	Creates an empty JsonArray
JsonArray.getAsBigDecimal()	convenience method to get this array as a BigDecimal if it contains a single element
JsonReader.nextNull()	Consumes the next token from the JSON stream and asserts that it is a literal null
JsonParser.parse(String)	Parses the specified JSON string into a parse tree
JsonIOException.JsonIOException(String,Throwable)	
JsonArray.getAsString()	convenience method to get this array as a String if it contains a single element
FieldAttributes.getDeclaringClass()	the declaring class that contains this field
JsonWriter.value(boolean)	Encodes value
JsonReader.close()	Closes this JSON reader and the underlying Reader
JsonPrimitive.JsonPrimitive(Number)	Create a primitive containing a Number
JsonArray.getAsNumber()	convenience method to get this array as a Number if it contains a single element
JsonReader.beginArray()	Consumes the next token from the JSON stream and asserts that it is the beginning of a new array
Gson.newJsonReader(Reader)	Returns a new JSON writer configured for the settings on this Gson instance
JsonWriter.endObject()	Ends encoding the current object
TypeToken.isAssignableFrom(TypeToken)	Check if this type is assignable from the given type token
