AffineTransform.clone()	Returns a copy of this AffineTransform object
RectangularShape.getMinY()	Returns the smallest Y coordinate of the framing rectangle of the Shape in double precision
QuadCurve2D.getCtrlY()	Returns the Y coordinate of the control point in double precision
CubicCurve2D.getFlatnessSq()	Returns the square of the flatness of this curve The flatness is the maximum distance of a control point from the line connecting the end points
Rectangle2D.add(double,double)	Adds a point specified by the double precision arguments newx and newy to this Rectangle2D The resulting Rectangle2D is the smallest Rectangle2D that contains both the original Rectangle2D and the specified point
RectangularShape.getMinX()	Returns the smallest X coordinate of the framing rectangle of the Shape in double precision
AffineTransform.setToScale(double,double)	Sets this transform to a scaling transformation
CubicCurve2D.getFlatnessSq(double,double,double,double,double,double,double,double)	Returns the square of the flatness of the cubic curve specified by the indicated control points The flatness is the maximum distance of a control point from the line connecting the end points
Line2D.setLine(Point2D,Point2D)	Sets the location of the end points of this Line2D to the specified Point2D coordinates
RoundRectangle2D.Double.Double(double,double,double,double,double,double)	Constructs and initializes a RoundRectangle2D from the specified double coordinates
Path2D.Float.append(PathIterator,boolean)	Appends the geometry of the specified PathIterator object to the path possibly connecting the new geometry to the existing path segments with a line segment
Line2D.intersects(double,double,double,double)	Tests if the interior of the Shape intersects the interior of a specified rectangular area
QuadCurve2D.getFlatness(double,double,double,double,double,double)	Returns the flatness or maximum distance of a control point from the line connecting the end points of the quadratic curve specified by the indicated control points
Line2D.getX2()	Returns the X coordinate of the end point in double precision
QuadCurve2D.Float.Float(float,float,float,float,float,float)	Constructs and initializes a QuadCurve2D from the specified float coordinates
CubicCurve2D.getPathIterator(AffineTransform,double)	Return an iteration object that defines the boundary of the flattened shape
RoundRectangle2D.Double.getX()	Returns the X coordinate of the upper left corner of the framing rectangle in double precision
AffineTransform.inverseTransform(Point2D,Point2D)	Inverse transforms the specified ptSrc and stores the result in ptDst
RoundRectangle2D.Double.setRoundRect(RoundRectangle2D)	Sets this RoundRectangle2D to be the same as the specified RoundRectangle2D
Area.getPathIterator(AffineTransform,double)	Creates a PathIterator for the flattened outline of this Area object Only uncurved path segments represented by the SEG MOVETO SEG LINETO and SEG CLOSE point types are returned by the iterator This Area object is unchanged
RectangularShape.getBounds()	Returns an integer Rectangle that completely encloses the Shape Note that there is no guarantee that the returned Rectangle is the smallest bounding box that encloses the Shape only that the Shape lies entirely within the indicated Rectangle The returned Rectangle might also fail to completely enclose the Shape if the Shape overflows the limited range of the integer data type The getBounds2D method generally returns a tighter bounding box due to its greater flexibility in representation
FlatteningPathIterator.getRecursionLimit()	Returns the recursion limit of this iterator
Path2D.Float.Float(int)	Constructs a new empty single precision Path2D object with the specified winding rule to control operations that require the interior of the path to be defined
