PrintStream.append(char)	Appends the specified character to this output stream
SequenceInputStream.available()	Returns an estimate of the number of bytes that can be read or skipped over from the current underlying input stream without blocking by the next invocation of a method for the current underlying input stream The next invocation might be the same thread or another thread A single read or skip of this many bytes will not block but may read or skip fewer bytes
ObjectInputStream.close()	Closes the input stream Must be called to release any resources associated with the stream
ObjectStreamClass.lookupAny(Class)	Returns the descriptor for any class regardless of whether it implements Serializable
ObjectOutputStream.writeShort(int)	Writes a 16 bit short
OutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this output stream
ObjectOutputStream.write(int)	Writes a byte This method will block until the byte is actually written
File.canRead()	Tests whether the application can read the file denoted by this abstract pathname
ObjectInput.read(byte[],int,int)	Reads into an array of bytes This method will block until some input is available
RandomAccessFile.length()	Returns the length of this file
Writer.append(CharSequence)	Appends the specified character sequence to this writer
ObjectInput.read(byte[])	Reads into an array of bytes This method will block until some input is available
FilterReader.read(char[],int,int)	Reads characters into a portion of an array
CharArrayReader.close()	Closes the stream and releases any system resources associated with it Once the stream has been closed further read ready mark reset or skip invocations will throw an IOException
CharArrayReader.reset()	Resets the stream to the most recent mark or to the beginning if it has never been marked
CharArrayReader.mark(int)	Marks the present position in the stream Subsequent calls to reset will reposition the stream to this point
StreamTokenizer.pushBack()	Causes the next call to the nextToken method of this tokenizer to return the current value in the ttype field and not to modify the value in the nval or sval field
ByteArrayOutputStream.toString(String)	Converts the buffer s contents into a string by decoding the bytes using the specified charsetName The length of the new String is a function of the charset and hence may not be equal to the length of the byte array
ObjectStreamField.getTypeString()	Return the JVM type signature
BufferedReader.mark(int)	Marks the present position in the stream Subsequent calls to reset will attempt to reposition the stream to this point
BufferedReader.ready()	Tells whether this stream is ready to be read A buffered character stream is ready if the buffer is not empty or if the underlying character stream is ready
StringBufferInputStream.reset()	Resets the input stream to begin reading from the first character of this input stream s underlying buffer
BufferedWriter.BufferedWriter(Writer,int)	Creates a new buffered character output stream that uses an output buffer of the given size
BufferedWriter.BufferedWriter(Writer)	Creates a buffered character output stream that uses a default sized output buffer
CharArrayReader.CharArrayReader(char[])	Creates a CharArrayReader from the specified array of chars
RandomAccessFile.readShort()	Reads a signed 16 bit number from this file The method reads two bytes from this file starting at the current file pointer
RandomAccessFile.RandomAccessFile(String,String)	Creates a random access file stream to read from and optionally to write to a file with the specified name A new FileDescriptor object is created to represent the connection to the file
ObjectOutputStream.writeChars(String)	Writes a String as a sequence of chars
ObjectInputStream.readUnsignedShort()	Reads an unsigned 16 bit short
PrintWriter.print(double)	Prints a double precision floating point number The string produced by String valueOf double is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
File.setLastModified(long)	Sets the last modified time of the file or directory named by this abstract pathname
ByteArrayOutputStream.write(int)	Writes the specified byte to this byte array output stream
ObjectOutputStream.putFields()	Retrieve the object used to buffer persistent fields to be written to the stream The fields will be written to the stream when writeFields method is called
BufferedOutputStream.BufferedOutputStream(OutputStream)	Creates a new buffered output stream to write data to the specified underlying output stream
CharArrayWriter.write(char[],int,int)	Writes characters to the buffer
StringReader.mark(int)	Marks the present position in the stream Subsequent calls to reset will reposition the stream to this point
PrintWriter.print(String)	Prints a string If the argument is null then the string null is printed Otherwise the string s characters are converted into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
InputStream.markSupported()	Tests if this input stream supports the mark and reset methods Whether or not mark and reset are supported is an invariant property of a particular input stream instance The markSupported method of InputStream returns false
FilePermission.getActions()	Returns the canonical string representation of the actions
PipedInputStream.PipedInputStream()	Creates a PipedInputStream so that it is not yet connected
PushbackReader.read(char[],int,int)	Reads characters into a portion of an array
DataInput.readFully(byte[])	Reads some bytes from an input stream and stores them into the buffer array b The number of bytes read is equal to the length of b
FilterInputStream.markSupported()	Tests if this input stream supports the mark and reset methods
RandomAccessFile.readUnsignedShort()	Reads an unsigned 16 bit number from this file This method reads two bytes from the file starting at the current file pointer
FilenameFilter.accept(File,String)	Tests if a specified file should be included in a file list
FileOutputStream.FileOutputStream(String)	Creates a file output stream to write to the file with the specified name A new FileDescriptor object is created to represent this file connection
FilterWriter.write(int)	Writes a single character
ObjectStreamClass.getField(String)	Get the field of this class by name
RandomAccessFile.close()	Closes this random access file stream and releases any system resources associated with the stream A closed random access file cannot perform input or output operations and cannot be reopened
ByteArrayInputStream.read(byte[],int,int)	Reads up to len bytes of data into an array of bytes from this input stream
CharArrayWriter.flush()	Flush the stream
DataInput.readDouble()	Reads eight input bytes and returns a double value It does this by first constructing a long value in exactly the manner of the readlong method then converting this long value to a double in exactly the manner of the method Double longBitsToDouble
ObjectInputStream.readChar()	Reads a 16 bit char
InputStreamReader.InputStreamReader(InputStream,Charset)	Creates an InputStreamReader that uses the given charset
LineNumberReader.read()	Read a single character Line terminators are compressed into single newline n characters Whenever a line terminator is read the current line number is incremented
FileWriter.FileWriter(String)	Constructs a FileWriter object given a file name
PipedInputStream.PipedInputStream(PipedOutputStream,int)	Creates a PipedInputStream so that it is connected to the piped output stream src and uses the specified pipe size for the pipe s buffer
PrintWriter.println(char[])	Prints an array of characters and then terminates the line This method behaves as though it invokes print char and then println
ObjectInputStream.readUnshared()	Reads an unshared object from the ObjectInputStream This method is identical to readObject except that it prevents subsequent calls to readObject and readUnshared from returning additional references to the deserialized instance obtained via this call Specifically If readUnshared is called to deserialize a back reference the stream representation of an object which has been written previously to the stream an ObjectStreamException will be thrown
File.getTotalSpace()	Returns the size of the partition named by this abstract pathname
PrintStream.PrintStream(File)	Creates a new print stream without automatic line flushing with the specified file This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the default charset for this instance of the Java virtual machine
FilterReader.markSupported()	Tells whether this stream supports the mark operation
DataInputStream.readDouble()	See the general contract of the readDouble method of DataInput
StringWriter.write(int)	Write a single character
ObjectOutput.write(byte[],int,int)	Writes a sub array of bytes
LineNumberReader.readLine()	Read a line of text Whenever a line terminator is read the current line number is incremented
PushbackInputStream.unread(int)	Pushes back a byte by copying it to the front of the pushback buffer
File.getAbsolutePath()	Returns the absolute pathname string of this abstract pathname
ByteArrayOutputStream.toString(int)	Creates a newly allocated string Its size is the current size of the output stream and the valid contents of the buffer have been copied into it Each character c in the resulting string is constructed from the corresponding element b in the byte array such that c char hibyte 0xff 8 b 0xff
RandomAccessFile.readFloat()	Reads a float from this file This method reads an int value starting at the current file pointer as if by the readInt method and then converts that int to a float using the intBitsToFloat method in class Float
DataInputStream.DataInputStream(InputStream)	Creates a DataInputStream that uses the specified underlying InputStream
InputStream.reset()	Repositions this stream to the position at the time the mark method was last called on this input stream
FileDescriptor.FileDescriptor()	Constructs an invalid FileDescriptor object
FilterOutputStream.write(int)	Writes the specified byte to this output stream
File.listFiles()	Returns an array of abstract pathnames denoting the files in the directory denoted by this abstract pathname
StreamTokenizer.ordinaryChar(int)	Specifies that the character argument is ordinary in this tokenizer It removes any special significance the character has as a comment character word component string delimiter white space or number character When such a character is encountered by the parser the parser treats it as a single character token and sets ttype field to the character value
File.createTempFile(String,String)	Creates an empty file in the default temporary file directory using the given prefix and suffix to generate its name Invoking this method is equivalent to invoking createTempFile prefix suffix null
PushbackReader.reset()	Resets the stream The reset method of PushbackReader always throws an exception
OutputStreamWriter.close()	Description copied from class Writer
InputStream.close()	Closes this input stream and releases any system resources associated with the stream
ByteArrayOutputStream.size()	Returns the current size of the buffer
PipedWriter.flush()	Flushes this output stream and forces any buffered output characters to be written out
RandomAccessFile.writeUTF(String)	Writes a string to the file using modified UTF 8 encoding in a machine independent manner
DataInput.readShort()	Reads two input bytes and returns a short value Let a be the first byte read and b be the second byte The value returned is short a 8 b 0xff This method is suitable for reading the bytes written by the writeShort method of interface DataOutput
PrintWriter.print(Object)	Prints an object The string produced by the String valueOf Object method is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
ObjectStreamClass.getFields()	Return an array of the fields of this serializable class
PipedOutputStream.connect(PipedInputStream)	Connects this piped output stream to a receiver If this object is already connected to some other piped input stream an IOException is thrown
InputStream.read(byte[])	Reads some number of bytes from the input stream and stores them into the buffer array b The number of bytes actually read is returned as an integer This method blocks until input data is available end of file is detected or an exception is thrown
DataInputStream.readLine()	See the general contract of the readLine method of DataInput
RandomAccessFile.readByte()	Reads a signed eight bit value from this file This method reads a byte from the file starting from the current file pointer
PrintWriter.PrintWriter(File)	Creates a new PrintWriter without automatic line flushing with the specified file This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the default charset for this instance of the Java virtual machine
Console.readLine()	Reads a single line of text from the console
CharArrayWriter.toString()	Converts input data to a string
OutputStreamWriter.write(String,int,int)	Writes a portion of a string
PipedReader.PipedReader()	Creates a PipedReader so that it is not yet connected It must be connected to a PipedWriter before being used
File.toURL()	Converts this abstract pathname into a file URL The exact form of the URL is system dependent If it can be determined that the file denoted by this abstract pathname is a directory then the resulting URL will end with a slash
DataInputStream.readUTF(DataInput)	Reads from the stream in a representation of a Unicode character string encoded in modified UTF 8 format this string of characters is then returned as a String
Reader.reset()	Resets the stream If the stream has been marked then attempt to reposition it at the mark If the stream has not been marked then attempt to reset it in some way appropriate to the particular stream for example by repositioning it to its starting point Not all character input streams support the reset operation and some support reset without supporting mark
FileOutputStream.close()	Closes this file output stream and releases any system resources associated with this stream This file output stream may no longer be used for writing bytes
Console.reader()	Retrieves the unique Reader object associated with this console
InputStream.skip(long)	Skips over and discards n bytes of data from this input stream The skip method may for a variety of reasons end up skipping over some smaller number of bytes possibly 0
PrintWriter.printf(String,)	A convenience method to write a formatted string to this writer using the specified format string and arguments If automatic flushing is enabled calls to this method will flush the output buffer
PushbackReader.PushbackReader(Reader)	Creates a new pushback reader with a one character pushback buffer
