String.length()	Returns the length of this string
String.valueOf(char[])	Returns the string representation of the char array argument The contents of the character array are copied subsequent modification of the character array does not affect the newly created string
String.indexOf(int)	Returns the index within this string of the first occurrence of the specified character If a character with value ch occurs in the character sequence represented by this String object then the index in Unicode code units of the first such occurrence is returned For values of ch in the range from 0 to 0xFFFF inclusive this is the smallest value k such that this charAt k ch is true For other values of ch it is the smallest value k such that this codePointAt k ch is true In either case if no such character occurs in this string then 1 is returned
String.lastIndexOf(int,int)	Returns the index within this string of the last occurrence of the specified character searching backward starting at the specified index For values of ch in the range from 0 to 0xFFFF inclusive the index returned is the largest value k such that this charAt k ch k fromIndex is true For other values of ch it is the largest value k such that this codePointAt k ch k fromIndex is true In either case if no such character occurs in this string at or before position fromIndex then 1 is returned
String.substring(int,int)	Returns a new string that is a substring of this string The substring begins at the specified beginIndex and extends to the character at index endIndex 1
String.compareToIgnoreCase(String)	Compares two strings lexicographically ignoring case differences This method returns an integer whose sign is that of calling compareTo with normalized versions of the strings where case differences have been eliminated by calling Character toLowerCase Character toUpperCase character on each character
String.valueOf(char)	Returns the string representation of the char argument
String.substring(int)	Returns a new string that is a substring of this string The substring begins with the character at the specified index and extends to the end of this string Examples unhappy substring 2 returns happy Harbison substring 3 returns bison emptiness substring 9 returns an empty string
String.indexOf(int,int)	Returns the index within this string of the first occurrence of the specified character starting the search at the specified index
String.split(String,int)	Splits this string around matches of the given regular expression
String.getBytes(Charset)	Encodes this String into a sequence of bytes using the given charset storing the result into a new byte array
String.valueOf(long)	Returns the string representation of the long argument
String.subSequence(int,int)	Returns a new character sequence that is a subsequence of this sequence
String.String(StringBuilder)	Allocates a new string that contains the sequence of characters currently contained in the string builder argument The contents of the string builder are copied subsequent modification of the string builder does not affect the newly created string
String.String(byte[],int)	Allocates a new String containing characters constructed from an array of 8 bit integer values Each character cin the resulting string is constructed from the corresponding component b in the byte array such that c char hibyte 0xff 8 b 0xff
String.String(StringBuffer)	Allocates a new string that contains the sequence of characters currently contained in the string buffer argument The contents of the string buffer are copied subsequent modification of the string buffer does not affect the newly created string
String.codePointAt(int)	Returns the character Unicode code point at the specified index The index refers to char values Unicode code units and ranges from 0 to length 1
String.equalsIgnoreCase(String)	Compares this String to another String ignoring case considerations Two strings are considered equal ignoring case if they are of the same length and corresponding characters in the two strings are equal ignoring case
String.copyValueOf(char[])	Returns a String that represents the character sequence in the array specified
String.String()	Initializes a newly created String object so that it represents an empty character sequence Note that use of this constructor is unnecessary since Strings are immutable
String.offsetByCodePoints(int,int)	Returns the index within this String that is offset from the given index by codePointOffset code points Unpaired surrogates within the text range given by index and codePointOffset count as one code point each
String.trim()	Returns a copy of the string with leading and trailing whitespace omitted
