Thread.checkAccess()	Determines if the currently running thread has permission to modify this thread
Character.isISOControl(char)	Determines if the specified character is an ISO control character A character is considered to be an ISO control character if its code is in the range u0000 through u001F or in the range u007F through u009F
AssertionError.AssertionError(long)	Constructs an AssertionError with its detail message derived from the specified long which is converted to a string as defined in section 15 18 1 1 of The Java Language Specification
Boolean.getBoolean(String)	Returns true if and only if the system property named by the argument exists and is equal to the string true Beginning with version 1 0 2 of the JavaTM platform the test of this string is case insensitive A system property is accessible through getProperty a method defined by the System class
Throwable.Throwable()	Constructs a new throwable with null as its detail message
MethodType.parameterType(int)	Returns the parameter type at the specified index within this method type
SwitchPoint.hasBeenInvalidated()	Determines if this switch point has been invalidated yet
SoftReference.SoftReference(T,ReferenceQueue)	Creates a new soft reference that refers to the given object and is registered with the given queue
StringBuffer.append(StringBuffer)	Appends the specified StringBuffer to this sequence
WeakReference.WeakReference(T)	Creates a new weak reference that refers to the given object The new reference is not registered with any queue
Modifier.isPublic(int)	Return true if the integer argument includes the public modifier false otherwise
Object.wait(long,int)	Causes the current thread to wait until another thread invokes the notify method or the notifyAll method for this object or some other thread interrupts the current thread or a certain amount of real time has elapsed
Character.isUpperCase(char)	Determines if the specified character is an uppercase character
Character.lowSurrogate(int)	Returns the trailing surrogate a low surrogate code unit of the surrogate pair representing the specified supplementary character Unicode code point in the UTF 16 encoding If the specified character is not a supplementary character an unspecified char is returned
MemoryManagerMXBean.isValid()	Tests if this memory manager is valid in the Java virtual machine A memory manager becomes invalid once the Java virtual machine removes it from the memory system
StringBuffer.replace(int,int,String)	Replaces the characters in a substring of this sequence with characters in the specified String The substring begins at the specified start and extends to the character at index end 1 or to the end of the sequence if no such character exists First the characters in the substring are removed and then the specified String is inserted at start This sequence will be lengthened to accommodate the specified String if necessary
Comparable.compareTo(T)	Compares this object with the specified object for order Returns a negative integer zero or a positive integer as this object is less than equal to or greater than the specified object
Runtime.runFinalizersOnExit(boolean)	Enable or disable finalization on exit doing so specifies that the finalizers of all objects that have finalizers that have not yet been automatically invoked are to be run before the Java runtime exits
Integer.floatValue()	Returns the value of this Integer as a float
Boolean.toString()	Returns a String object representing this Boolean s value If this object represents the value true a string equal to true is returned Otherwise a string equal to false is returned
Integer.decode(String)	Decodes a String into an Integer
ThreadMXBean.isSynchronizerUsageSupported()	Tests if the Java virtual machine supports monitoring of ownable synchronizer usage
Process.exitValue()	Returns the exit value for the subprocess
Modifier.interfaceModifiers()	Return an int value OR ing together the source language modifiers that can be applied to an interface
ClassLoader.setDefaultAssertionStatus(boolean)	Sets the default assertion status for this class loader This setting determines whether classes loaded by this class loader and initialized in the future will have assertions enabled or disabled by default
SoftReference.SoftReference(T)	Creates a new soft reference that refers to the given object The new reference is not registered with any queue
MemoryPoolMXBean.getType()	Returns the type of this memory pool
Thread.setPriority(int)	Changes the priority of this thread
Array.getInt(Object,int)	Returns the value of the indexed component in the specified array object as an int
StringBuffer.substring(int)	Returns a new String that contains a subsequence of characters currently contained in this character sequence The substring begins at the specified index and extends to the end of this sequence
MethodHandles.insertArguments(MethodHandle,int,)	Provides a target method handle with one or more bound arguments in advance of the method handle s invocation
