RuleBasedCollator.clone()	Standard override no change in semantics
DecimalFormatSymbols.getInstance()	Gets the DecimalFormatSymbols instance for the default locale This method provides access to DecimalFormatSymbols instances for locales supported by the Java runtime itself as well as for those supported by installed DecimalFormatSymbolsProvider implementations
AttributedCharacterIterator.getAttributes()	Returns a map with the attributes defined on the current character
Collator.getInstance(Locale)	Gets the Collator for the desired locale
DecimalFormat.getPositiveSuffix()	Get the positive suffix
DateFormat.hashCode()	Overrides hashCode
CollationElementIterator.setText(String)	Set a new string over which to iterate
SimpleDateFormat.setDateFormatSymbols(DateFormatSymbols)	Sets the date and time format symbols of this date format
CharacterIterator.clone()	Create a copy of this iterator
AttributedCharacterIterator.getAllAttributeKeys()	Returns the keys of all attributes defined on the iterator s text range The set is empty if no attributes are defined
StringCharacterIterator.last()	Implements CharacterIterator last for String
DecimalFormat.getMaximumFractionDigits()	Gets the maximum number of digits allowed in the fraction portion of a number
DateFormatProvider.getDateTimeInstance(int,int,Locale)	Returns a new DateFormat instance which formats date and time with the given formatting style for the specified locale
DateFormatSymbols.setShortWeekdays(String[])	Sets short weekday strings For example Sun Mon etc
DecimalFormat.setMaximumFractionDigits(int)	Sets the maximum number of digits allowed in the fraction portion of a number
DecimalFormatSymbols.setPercent(char)	Sets the character used for percent sign Different for Arabic etc
NumberFormat.setMaximumIntegerDigits(int)	Sets the maximum number of digits allowed in the integer portion of a number maximumIntegerDigits must be minimumIntegerDigits If the new value for maximumIntegerDigits is less than the current value of minimumIntegerDigits then minimumIntegerDigits will also be set to the new value
MessageFormat.parse(String)	Parses text from the beginning of the given string to produce an object array
ChoiceFormat.nextDouble(double)	Finds the least double greater than d
CharacterIterator.getEndIndex()	Returns the end index of the text This index is the index of the first character following the end of the text
DateFormatSymbolsProvider.getInstance(Locale)	Returns a new DateFormatSymbols instance for the specified locale
DecimalFormat.setNegativePrefix(String)	Set the negative prefix
DecimalFormatSymbols.setInfinity(String)	Sets the string used to represent infinity Almost always left unchanged
SimpleDateFormat.clone()	Creates a copy of this SimpleDateFormat This also clones the format s date format symbols
StringCharacterIterator.current()	Implements CharacterIterator current for String
MessageFormat.formatToCharacterIterator(Object)	Formats an array of objects and inserts them into the MessageFormat s pattern producing an AttributedCharacterIterator
Annotation.getValue()	Returns the value of the attribute which may be null
BreakIteratorProvider.getWordInstance(Locale)	Returns a new BreakIterator instance for word breaks for the given locale
MessageFormat.format(String,)	Creates a MessageFormat with the given pattern and uses it to format the given arguments This is equivalent to new MessageFormat pattern format arguments new StringBuffer null toString
DateFormatSymbols.getLocalPatternChars()	Gets localized date time pattern characters For example u t etc
DecimalFormat.DecimalFormat(String)	Creates a DecimalFormat using the given pattern and the symbols for the default locale This is a convenient way to obtain a DecimalFormat when internationalization is not the main concern
DateFormatSymbols.clone()	Overrides Cloneable
CharacterIterator.current()	Gets the character at the current position as returned by getIndex
MessageFormat.MessageFormat(String,Locale)	Constructs a MessageFormat for the specified locale and pattern
DateFormatSymbols.setWeekdays(String[])	Sets weekday strings For example Sunday Monday etc
ChoiceFormat.format(double,StringBuffer,FieldPosition)	Returns pattern with formatted double
DecimalFormatSymbols.getDecimalSeparator()	Gets the character used for decimal sign Different for French etc
FieldPosition.setEndIndex(int)	Sets the end index For use by subclasses of Format
Bidi.isLeftToRight()	Return true if the line is all left to right text and the base direction is left to right
Collator.setStrength(int)	Sets this Collator s strength property The strength property determines the minimum level of difference considered significant during comparison
DateFormat.setNumberFormat(NumberFormat)	Allows you to set the number formatter
DateFormat.getDateTimeInstance(int,int,Locale)	Gets the date time formatter with the given formatting styles for the given locale
DecimalFormat.equals(Object)	Overrides equals
AttributedCharacterIterator.getAttribute(Attribute)	Returns the value of the named attribute for the current character
DecimalFormat.setDecimalFormatSymbols(DecimalFormatSymbols)	Sets the decimal format symbols which is generally not changed by the programmer or user
AttributedCharacterIterator.getRunStart(Attribute)	Returns the index of the first character of the run with respect to the given attribute containing the current character
DecimalFormatSymbolsProvider.getInstance(Locale)	Returns a new DecimalFormatSymbols instance for the specified locale
ParsePosition.hashCode()	Returns a hash code for this ParsePosition
DecimalFormat.getCurrency()	Gets the currency used by this decimal format when formatting currency values
DateFormat.parse(String,ParsePosition)	Parse a date time string according to the given parse position For example a time text 07 10 96 4 5 PM PDT will be parsed into a Date that is equivalent to Date 837039900000L
SimpleDateFormat.set2DigitYearStart(Date)	Sets the 100 year period 2 digit years will be interpreted as being in to begin on the date the user specifies
DecimalFormatSymbols.getMinusSign()	Gets the character used to represent minus sign If no explicit negative format is specified one is formed by prefixing minusSign to the positive format
DecimalFormatSymbols.getAvailableLocales()	Returns an array of all locales for which the getInstance methods of this class can return localized instances
BreakIterator.getAvailableLocales()	Returns an array of all locales for which the get Instance methods of this class can return localized instances
DateFormat.Field.ofCalendarField(int)	Returns the Field constant that corresponds to the Calendar constant calendarField
ParsePosition.ParsePosition(int)	Create a new ParsePosition with the given initial index
ChoiceFormat.getLimits()	Get the limits passed in the constructor
MessageFormat.getFormatsByArgumentIndex()	Gets the formats used for the values passed into format methods or returned from parse methods The indices of elements in the returned array correspond to the argument indices used in the previously set pattern string
BreakIterator.isBoundary(int)	Returns true if the specified character offset is a text boundary
FieldPosition.hashCode()	Returns a hash code for this FieldPosition
CollationElementIterator.setOffset(int)	Sets the iterator to point to the collation element corresponding to the specified character the parameter is a CHARACTER offset in the original string not an offset into its corresponding sequence of collation elements The value returned by the next call to next will be the collation element corresponding to the specified position in the text If that position is in the middle of a contracting character sequence the result of the next call to next is the collation element for that sequence This means that getOffset is not guaranteed to return the same value as was passed to a preceding call to setOffset
NumberFormat.getInstance(Locale)	Returns a general purpose number format for the specified locale
MessageFormat.format(Object[],StringBuffer,FieldPosition)	Formats an array of objects and appends the MessageFormat s pattern with format elements replaced by the formatted objects to the provided StringBuffer
ChoiceFormat.clone()	Overrides Cloneable
BreakIterator.getText()	Get the text being scanned
ChoiceFormat.ChoiceFormat(double[],String[])	Constructs with the limits and the corresponding formats
Collator.compare(Object,Object)	Compares its two arguments for order Returns a negative integer zero or a positive integer as the first argument is less than equal to or greater than the second
AttributedString.AttributedString(String,Map)	Constructs an AttributedString instance with the given text and attributes
StringCharacterIterator.getBeginIndex()	Implements CharacterIterator getBeginIndex for String
ParseException.getErrorOffset()	Returns the position where the error was found
DateFormatSymbols.getShortWeekdays()	Gets short weekday strings For example Sun Mon etc
DateFormatSymbols.getZoneStrings()	Gets time zone strings Use of this method is discouraged use TimeZone getDisplayName instead
NumberFormat.getCurrencyInstance(Locale)	Returns a currency format for the specified locale
SimpleDateFormat.format(Date,StringBuffer,FieldPosition)	Formats the given Date into a date time string and appends the result to the given StringBuffer
MessageFormat.toPattern()	Returns a pattern representing the current state of the message format
NumberFormat.getMaximumFractionDigits()	Returns the maximum number of digits allowed in the fraction portion of a number
Collator.getAvailableLocales()	Returns an array of all locales for which the getInstance methods of this class can return localized instances
NumberFormat.getRoundingMode()	Gets the RoundingMode used in this NumberFormat
NumberFormat.parseObject(String,ParsePosition)	Parses text from a string to produce a Number
ChoiceFormat.format(long,StringBuffer,FieldPosition)	Specialization of format This method really calls format double StringBuffer FieldPosition thus the range of longs that are supported is only equal to the range that can be stored by double This will never be a practical limitation
CollationElementIterator.previous()	Get the previous collation element in the string This iterator iterates over a sequence of collation elements that were built from the string
DateFormat.getDateInstance()	Gets the date formatter with the default formatting style for the default locale
MessageFormat.setFormatByArgumentIndex(int,Format)	Sets the format to use for the format elements within the previously set pattern string that use the given argument index
NumberFormatProvider.getPercentInstance(Locale)	Returns a new NumberFormat instance which formats percentage values for the specified locale
DecimalFormatSymbols.getPerMill()	Gets the character used for per mille sign Different for Arabic etc
DecimalFormatSymbols.getGroupingSeparator()	Gets the character used for thousands separator Different for French etc
DecimalFormatSymbols.setNaN(String)	Sets the string used to represent not a number Almost always left unchanged
SimpleDateFormat.SimpleDateFormat(String)	Constructs a SimpleDateFormat using the given pattern and the default date format symbols for the default locale
ChoiceFormat.applyPattern(String)	Sets the pattern
Collator.getInstance()	Gets the Collator for the current default locale
FieldPosition.getField()	Retrieves the field identifier
RuleBasedCollator.compare(String,String)	Compares the character data stored in two different strings based on the collation rules Returns information about whether a string is less than greater than or equal to another string in a language
MessageFormat.setFormat(int,Format)	Sets the format to use for the format element with the given format element index within the previously set pattern string
DecimalFormat.setRoundingMode(RoundingMode)	Sets the RoundingMode used in this DecimalFormat
