ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
AbstractPreferences.keys()	Implements the keys method as per the specification in Preferences keys
Matcher.matches()	Attempts to match the entire region against the pattern
Collections.min(Collection,Comparator)	Returns the minimum element of the given collection according to the order induced by the specified comparator All elements in the collection must be mutually comparable by the specified comparator that is comp compare e1 e2 must not throw a ClassCastException for any elements e1 and e2 in the collection
Preferences.exportNode(OutputStream)	Emits on the specified output stream an XML document representing all of the preferences contained in this node but not its descendants
ResourceBundle.Control.getFallbackLocale(String,Locale)	Returns a Locale to be used as a fallback locale for further resource bundle searches by the ResourceBundle getBundle factory method This method is called from the factory method every time when no resulting resource bundle has been found for baseName and locale where locale is either the parameter for ResourceBundle getBundle or the previous fallback locale returned by this method
TreeMap.floorEntry(K)	Description copied from interface NavigableMap
LinkedList.clone()	Returns a shallow copy of this LinkedList The elements themselves are not cloned
Locale.Builder.setExtension(char,String)	Sets the extension for the given key If the value is null or the empty string the extension is removed Otherwise the extension must be well formed or an exception is thrown
Matcher.regionStart()	Reports the start index of this matcher s region The searches this matcher conducts are limited to finding matches within regionStart inclusive and regionEnd exclusive
GZIPInputStream.GZIPInputStream(InputStream,int)	Creates a new input stream with the specified buffer size
AtomicReferenceArray.getAndSet(int,E)	Atomically sets the element at position i to the given value and returns the old value
ReentrantReadWriteLock.isFair()	Returns true if this lock has fairness set true
AbstractPreferences.get(String,String)	Implements the get method as per the specification in Preferences get String String
ResourceBundle.Control.getControl(List)	Returns a ResourceBundle Control in which the getFormats method returns the specified formats The formats must be equal to one of FORMAT PROPERTIES FORMAT CLASS or FORMAT DEFAULT ResourceBundle Control instances returned by this method are singletons and thread safe
Arrays.copyOfRange(U[],int,int,Class)	Copies the specified range of the specified array into a new array
Adler32.update(byte[],int,int)	Updates the checksum with the specified array of bytes
Collections.reverseOrder(Comparator)	Returns a comparator that imposes the reverse ordering of the specified comparator If the specified comparator is null this method is equivalent to reverseOrder in other words it returns a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface
JarFile.JarFile(String,boolean)	Creates a new JarFile to read from the specified file name
Vector.copyInto(Object[])	Copies the components of this vector into the specified array
Attributes.Name.equals(Object)	Compares this attribute name to another for equality
CountDownLatch.toString()	Returns a string identifying this latch as well as its state
CopyOnWriteArrayList.contains(Object)	Returns true if this list contains the specified element
Deflater.setDictionary(byte[],int,int)	Sets preset dictionary for compression A preset dictionary is used when the history buffer can be predetermined When the data is later uncompressed with Inflater inflate Inflater getAdler can be called in order to get the Adler 32 value of the dictionary required for decompression
SocketHandler.SocketHandler(String,int)	Construct a SocketHandler using a specified host and port
Objects.toString(Object,String)	Returns the result of calling toString on the first argument if the first argument is not null and returns the second argument otherwise
Locale.getDisplayName(Locale)	Returns a name for the locale that is appropriate for display to the user This will be the values returned by getDisplayLanguage getDisplayScript getDisplayCountry and getDisplayVariant assembled into a single string
LinkedBlockingQueue.poll(long,TimeUnit)	Description copied from interface BlockingQueue
ZipEntry.getCrc()	Returns the CRC 32 checksum of the uncompressed entry data or 1 if not known
ForkJoinTask.adapt(Runnable,T)	Returns a new ForkJoinTask that performs the run method of the given Runnable as its action and returns the given result upon join
ArrayList.ArrayList(int)	Constructs an empty list with the specified initial capacity
AbstractQueuedSynchronizer.tryAcquireSharedNanos(int,long)	Attempts to acquire in shared mode aborting if interrupted and failing if the given timeout elapses Implemented by first checking interrupt status then invoking at least once tryAcquireShared int returning on success Otherwise the thread is queued possibly repeatedly blocking and unblocking invoking tryAcquireShared int until success or the thread is interrupted or the timeout elapses
CopyOnWriteArrayList.remove(Object)	Removes the first occurrence of the specified element from this list if it is present If this list does not contain the element it is unchanged More formally removes the element with the lowest index i such that o null get i null o equals get i if such an element exists Returns true if this list contained the specified element or equivalently if this list changed as a result of the call
ArrayList.listIterator(int)	Returns a list iterator over the elements in this list in proper sequence starting at the specified position in the list
Scanner.nextBigInteger()	Scans the next token of the input as a BigInteger
TreeMap.put(K,V)	Associates the specified value with the specified key in this map
LinkedBlockingDeque.offerFirst(E,long,TimeUnit)	Description copied from interface BlockingDeque
Collections.checkedMap(Map,Class,Class)	Returns a dynamically typesafe view of the specified map
ForkJoinPool.getQueuedSubmissionCount()	Returns an estimate of the number of tasks submitted to this pool that have not yet begun executing This method may take time proportional to the number of submissions
MissingResourceException.getKey()	Gets parameter passed by constructor
LinkedList.peekFirst()	Retrieves but does not remove the first element of this list or returns null if this list is empty
Logger.log(Level,String,Throwable)	Log a message with associated Throwable information
ForkJoinTask.fork()	Arranges to asynchronously execute this task While it is not necessarily enforced it is a usage error to fork a task more than once unless it has completed and been reinitialized
EnumSet.of(E)	Creates an enum set initially containing the specified element
ReentrantReadWriteLock.isWriteLockedByCurrentThread()	Queries if the write lock is held by the current thread
AbstractQueuedSynchronizer.release(int)	Releases in exclusive mode Implemented by unblocking one or more threads if tryRelease int returns true
LogRecord.getSourceMethodName()	Get the name of the method that allegedly issued the logging request
WeakHashMap.WeakHashMap(Map)	Constructs a new WeakHashMap with the same mappings as the specified map The WeakHashMap is created with the default load factor 0 75 and an initial capacity sufficient to hold the mappings in the specified map
ConcurrentSkipListMap.tailMap(K)	Description copied from interface NavigableMap
BlockingDeque.offerFirst(E,long,TimeUnit)	Inserts the specified element at the front of this deque waiting up to the specified wait time if necessary for space to become available
PriorityBlockingQueue.offer(E)	Inserts the specified element into this priority queue
LinkedTransferQueue.drainTo(Collection,int)	Description copied from interface BlockingQueue
EventObject.getSource()	The object on which the Event initially occurred
InflaterOutputStream.write(byte[],int,int)	Writes an array of bytes to the uncompressed output stream
LinkedBlockingQueue.toString()	Description copied from class AbstractCollection
Arrays.fill(long[],int,int,long)	Assigns the specified long value to each element of the specified range of the specified array of longs The range to be filled extends from index fromIndex inclusive to index toIndex exclusive If fromIndex toIndex the range to be filled is empty
GregorianCalendar.setGregorianChange(Date)	Sets the GregorianCalendar change date This is the point when the switch from Julian dates to Gregorian dates occurred Default is October 15 1582 Gregorian Previous to this dates will be in the Julian calendar
ListResourceBundle.ListResourceBundle()	Sole constructor For invocation by subclass constructors typically implicit
Deflater.Deflater(int)	Creates a new compressor using the specified compression level
Locale.Builder.setLanguageTag(String)	Resets the Builder to match the provided IETF BCP 47 language tag Discards the existing state Null and the empty string cause the builder to be reset like clear Grandfathered tags see Locale forLanguageTag java lang String are converted to their canonical form before being processed Otherwise the language tag must be well formed see Locale or an exception is thrown unlike Locale forLanguageTag which just discards ill formed and following portions of the tag
ReentrantReadWriteLock.WriteLock.isHeldByCurrentThread()	Queries if this write lock is held by the current thread
Matcher.reset(CharSequence)	Resets this matcher with a new input sequence
PriorityBlockingQueue.comparator()	Returns the comparator used to order the elements in this queue or null if this queue uses the natural ordering of its elements
Scanner.Scanner(InputStream)	Constructs a new Scanner that produces values scanned from the specified input stream Bytes from the stream are converted into characters using the underlying platform s default charset
ReentrantReadWriteLock.WriteLock.tryLock()	Acquires the write lock only if it is not held by another thread at the time of invocation
Map.equals(Object)	Compares the specified object with this map for equality Returns true if the given object is also a map and the two maps represent the same mappings More formally two maps m1 and m2 represent the same mappings if m1 entrySet equals m2 entrySet This ensures that the equals method works properly across different implementations of the Map interface
Handler.getFilter()	Get the current Filter for this Handler
LinkedBlockingDeque.pollLast()	Description copied from interface Deque
HashMap.HashMap()	Constructs an empty HashMap with the default initial capacity 16 and the default load factor 0 75
ConcurrentLinkedDeque.removeLastOccurrence(Object)	Removes the last element e such that o equals e if such an element exists in this deque
LinkedList.offerLast(E)	Inserts the specified element at the end of this list
AbstractQueuedSynchronizer.releaseShared(int)	Releases in shared mode Implemented by unblocking one or more threads if tryReleaseShared int returns true
Executors.defaultThreadFactory()	Returns a default thread factory used to create new threads
ConcurrentLinkedQueue.size()	Returns the number of elements in this queue If this queue contains more than Integer MAX VALUE elements returns Integer MAX VALUE
Arrays.deepToString(Object[])	Returns a string representation of the deep contents of the specified array If the array contains other arrays as elements the string representation contains their contents and so on This method is designed for converting multidimensional arrays to strings
ExecutionException.ExecutionException(String,Throwable)	Constructs an ExecutionException with the specified detail message and cause
Arrays.copyOf(short[],int)	Copies the specified array truncating or padding with zeros if necessary so the copy has the specified length For all indices that are valid in both the original array and the copy the two arrays will contain identical values For any indices that are valid in the copy but not the original the copy will contain short 0
ThreadLocalRandom.nextLong(long,long)	Returns a pseudorandom uniformly distributed value between the given least value inclusive and bound exclusive
AbstractQueue.addAll(Collection)	Adds all of the elements in the specified collection to this queue Attempts to addAll of a queue to itself result in IllegalArgumentException Further the behavior of this operation is undefined if the specified collection is modified while the operation is in progress
LinkedBlockingDeque.removeFirstOccurrence(Object)	Description copied from interface BlockingDeque
ZipInputStream.closeEntry()	Closes the current ZIP entry and positions the stream for reading the next entry
Calendar.getTimeInMillis()	Returns this Calendar s time value in milliseconds
Vector.Vector()	Constructs an empty vector so that its internal data array has size 10 and its standard capacity increment is zero
Deflater.deflate(byte[],int,int)	Compresses the input data and fills specified buffer with compressed data Returns actual number of bytes of compressed data A return value of 0 indicates that needsInput should be called in order to determine if more input data is required
TreeMap.TreeMap()	Constructs a new empty tree map using the natural ordering of its keys All keys inserted into the map must implement the Comparable interface Furthermore all such keys must be mutually comparable k1 compareTo k2 must not throw a ClassCastException for any keys k1 and k2 in the map If the user attempts to put a key into the map that violates this constraint for example the user attempts to put a string key into a map whose keys are integers the put Object key Object value call will throw a ClassCastException
Vector.indexOf(Object,int)	Returns the index of the first occurrence of the specified element in this vector searching forwards from index or returns 1 if the element is not found
AbstractMap.containsKey(Object)	Returns true if this map contains a mapping for the specified key More formally returns true if and only if this map contains a mapping for a key k such that key null k null key equals k There can be at most one such mapping This implementation iterates over entrySet searching for an entry with the specified key If such an entry is found true is returned If the iteration terminates without finding such an entry false is returned Note that this implementation requires linear time in the size of the map many implementations will override this method
Scanner.Scanner(String)	Constructs a new Scanner that produces values scanned from the specified string
LinkedBlockingDeque.offer(E)	Description copied from interface BlockingDeque
LinkedBlockingQueue.LinkedBlockingQueue(int)	Creates a LinkedBlockingQueue with the given fixed capacity
IdentityHashMap.IdentityHashMap(int)	Constructs a new empty map with the specified expected maximum size
AbstractQueuedSynchronizer.acquireShared(int)	Acquires in shared mode ignoring interrupts Implemented by first invoking at least once tryAcquireShared int returning on success Otherwise the thread is queued possibly repeatedly blocking and unblocking invoking tryAcquireShared int until success
Arrays.sort(int[])	Sorts the specified array into ascending numerical order
AbstractPreferences.sync()	Implements the sync method as per the specification in Preferences sync
Scanner.findWithinHorizon(String,int)	Attempts to find the next occurrence of a pattern constructed from the specified string ignoring delimiters
ExecutorService.submit(Runnable,T)	Submits a Runnable task for execution and returns a Future representing that task The Future s get method will return the given result upon successful completion
Manifest.equals(Object)	Returns true if the specified Object is also a Manifest and has the same main Attributes and entries
Arrays.fill(short[],short)	Assigns the specified short value to each element of the specified array of shorts
Logger.logrb(Level,String,String,String,String,Object[])	Log a message specifying source class method and resource bundle name with an array of object arguments
ConcurrentSkipListMap.headMap(K)	Description copied from interface NavigableMap
Calendar.getMinimalDaysInFirstWeek()	Gets what the minimal days required in the first week of the year are e g if the first week is defined as one that contains the first day of the first month of a year this method returns 1 If the minimal days required must be a full week this method returns 7
LinkedList.clear()	Removes all of the elements from this list
ConcurrentNavigableMap.descendingKeySet()	Returns a reverse order NavigableSet view of the keys contained in this map
AbstractCollection.iterator()	Returns an iterator over the elements contained in this collection
Timer.Timer()	Creates a new timer The associated thread does not run as a daemon
Manifest.getEntries()	Returns a Map of the entries contained in this Manifest Each entry is represented by a String name key and associated Attributes value
ForkJoinTask.invoke()	Commences performing this task awaits its completion if necessary and returns its result or throws an unchecked RuntimeException or Error if the underlying computation did so
Deque.addFirst(E)	Inserts the specified element at the front of this deque if it is possible to do so immediately without violating capacity restrictions
